original_title,release_date,genres,keywords,actors,director
The Wolf of Wall Street,2013-12-25,"['Crime', 'Drama', 'Comedy']","['corruption', 'based on novel or book', 'drug addiction', 'anti hero', 'con man', 'fraud', 'wall street', 'based on true story', 'rise and fall', 'con artist', 'money', 'stockbroker', 'wealthy', 'drugs', 'cynical', 'stripping', 'hedonism', 'decadence', 'taunting', 'corrupt', 'shocking', '1980s', 'sharemarket fraud', 'desire for fame', 'financial market', 'fame-seeking', 'black monday', 'cautionary', 'hilarious', 'callous', 'disrespectful', 'based on real person']","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Bernthal', 'Jon Favreau', 'Jean Dujardin', 'Joanna Lumley']",Martin Scorsese
Avengers: Age of Ultron,2015-04-22,"['Action', 'Adventure', 'Science Fiction']","['artificial intelligence (a.i.)', 'superhero', 'based on comic', 'sequel', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'fictitious country', 'evil robot', 'iron man']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner', 'James Spader', 'Samuel L. Jackson', 'Don Cheadle', 'Aaron Taylor-Johnson']",Hayao Miyazaki
The Dark Knight Rises,2012-07-17,"['Action', 'Crime', 'Drama', 'Thriller']","['fight', 'burglar', 'hostage', 'secret identity', 'crime fighter', 'superhero', 'villainess', 'time bomb', 'based on comic', 'cover-up', 'vigilante', 'tragic hero', 'mobile', 'terrorism', 'destruction', 'fighting', 'criminal underworld', 'cat burglar', 'flood']","['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy', 'Marion Cotillard', 'Joseph Gordon-Levitt', 'Morgan Freeman', 'Matthew Modine', 'Juno Temple']",Christopher Nolan
Captain America: Civil War,2016-04-27,"['Adventure', 'Action', 'Science Fiction']","['superhero', 'based on comic', 'sequel', 'super soldier', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'angry', 'black widow', 'iron man', 'captain america', 'bitter', 'spiderman', 'hawkeye', 'black panther', 'war machine', 'the vision', 'scarlet witch', 'the falcon']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan', 'Anthony Mackie', 'Don Cheadle', 'Jeremy Renner', 'Chadwick Boseman', 'Paul Bettany', 'Elizabeth Olsen']",Riley Flanagan
Mad Max: Fury Road,2015-05-13,"['Action', 'Adventure', 'Science Fiction']","['rescue', 'future', 'australia', 'chase', 'dystopia', 'post-apocalyptic future', 'survival', 'on the run', 'on the road', 'convoy', 'peak oil', 'dark future', 'post-apocalyptic']","['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman', 'Nathan Jones', 'Zoë Kravitz', 'Rosie Huntington-Whiteley', 'Riley Keough', 'Abbey Lee']",George Miller
Inglourious Basterds,2009-08-02,"['Drama', 'Thriller', 'War']","['guerrilla warfare', 'swastika', 'paris, france', 'nazi', 'self sacrifice', 'sadism', 'dynamite', 'mexican standoff', 'world war ii', 'jew persecution', 'masochism', 'anti-semitism', 'german occupation of france', 'british politics', 'revisionist history', 'complex', 'adolf hitler', 'absurd']","['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz', 'Michael Fassbender', 'Diane Kruger', 'Daniel Brühl', 'Til Schweiger', 'Gedeon Burkhard', 'Jacky Ido', 'B.J. Novak']",Quentin Tarantino
Black Panther,2018-02-13,"['Action', 'Adventure', 'Science Fiction']","['africa', 'superhero', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']","['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Angela Bassett']",Riley Flanagan
Iron Man 3,2013-04-18,"['Action', 'Adventure', 'Science Fiction']","['california', 'war on terror', 'superhero', 'malibu', 'based on comic', 'tennessee', 'billionaire', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'angry', 'christmas', 'america', 'iron man', 'war machine']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Jon Favreau', 'Ben Kingsley', 'James Badge Dale', 'Stephanie Szostak', 'Paul Bettany']",Lars P. Winther
Doctor Strange,2016-10-25,"['Action', 'Adventure', 'Fantasy']","['magic', 'superhero', 'training', 'time', 'based on comic', 'sorcerer', 'doctor', 'neurosurgeon', 'wizard', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'suspenseful']","['Benedict Cumberbatch', 'Chiwetel Ejiofor', 'Rachel McAdams', 'Benedict Wong', 'Mads Mikkelsen', 'Tilda Swinton', 'Michael Stuhlbarg', 'Benjamin Bratt', 'Scott Adkins', 'Zara Phythian']",Scott Derrickson
The Hunger Games,2012-03-12,"['Science Fiction', 'Adventure', 'Fantasy']","['based on novel or book', 'revolution', 'dystopia', 'female protagonist', 'bow and arrow', 'game', 'archery', 'death match', 'forced to kill', 'based on young adult novel', 'dramatic', 'awestruck', 'frightened']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Lenny Kravitz', 'Stanley Tucci', 'Donald Sutherland', 'Wes Bentley', 'Toby Jones']",Chad Stahelski
Inside Out,2015-06-17,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['dream', 'san francisco, california', 'minnesota', 'sadness', 'cartoon', 'disgust', 'ice hockey', 'imaginary friend', 'elementary school', 'family relationships', 'memory', 'fear', 'family', 'anger', 'unicorn', 'running away', 'duringcreditsstinger', 'emotions', 'joy', 'brisk']","['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Kaitlyn Dias', 'Diane Lane', 'Kyle MacLachlan', 'Paula Poundstone']",Pete Docter
Harry Potter and the Chamber of Secrets,2002-11-13,"['Adventure', 'Fantasy']","['witch', 'flying car', 'elves', 'magic', 'sword', 'diary', 'child hero', 'school of witchcraft', 'giant spider', 'black magic', 'giant snake', 'ghost', 'child driving car', 'wizard', 'aftercreditsstinger', 'mysterious', 'christmas', 'based on young adult novel', 'wizarding world']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Kenneth Branagh', 'Toby Jones', 'Robbie Coltrane', 'Richard Harris', 'Alan Rickman', 'Tom Felton', 'Jason Isaacs']",Chris Columbus
The Lord of the Rings: The Two Towers,2002-12-18,"['Adventure', 'Fantasy', 'Action']","['mission', 'army', 'based on novel or book', 'orcs', 'elves', 'dwarf', 'magic', 'obsession', 'bravery', 'castle', 'reincarnation', 'sequel', 'battle', 'brutality', 'guide', 'split personality', 'marsh', 'fantasy world', 'wizard', 'journey', 'ring', 'live action and animation', ""hero's journey"", 'high fantasy', 'wraith', 'sword and sorcery', 'complex', 'trekking', 'evil spell', 'good versus evil', 'creatures', 'trees', 'winged creatures', 'hobbits']","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Andy Serkis', 'John Rhys-Davies', 'Orlando Bloom', 'Bernard Hill', 'Miranda Otto', 'Dominic Monaghan']",Peter Jackson
Spider-Man: Homecoming,2017-07-05,"['Action', 'Adventure', 'Science Fiction', 'Drama']","['high school', 'new york city', 'washington dc, usa', 'superhero', 'based on comic', 'reboot', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'angry']","['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.', 'Marisa Tomei', 'Jon Favreau', 'Gwyneth Paltrow', 'Zendaya', 'Donald Glover', 'Jacob Batalon', 'Laura Harrier']",Riley Flanagan
Guardians of the Galaxy Vol. 2,2017-04-19,"['Science Fiction', 'Adventure', 'Action']","['superhero', 'based on comic', 'sequel', 'misfit', 'space', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)']","['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Kurt Russell', 'Michael Rooker', 'Karen Gillan', 'Pom Klementieff', 'Sylvester Stallone']",David Yarovesky
Harry Potter and the Prisoner of Azkaban,2004-05-31,"['Adventure', 'Fantasy']","['witch', 'school friend', 'friendship', 'flying', 'magic', 'bus', 'traitor', 'child hero', 'school of witchcraft', 'black magic', 'time travel', 'school', 'best friend', 'werewolf', 'muggle', 'ghost', 'wizard', 'aftercreditsstinger', 'magical creature', 'mysterious', 'night bus', 'teenage life', 'christmas', 'school class', 'based on young adult novel', 'magic spell', 'wizarding world']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon', 'Gary Oldman', 'David Thewlis', 'Timothy Spall', 'Alan Rickman', 'Tom Felton']",Alfonso Cuarón
Captain America: The First Avenger,2011-07-22,"['Action', 'Adventure', 'Science Fiction']","['new york city', 'nazi', 'superhero', 'world war ii', 'heroism', 'shield', 'based on comic', 'super soldier', 'period drama', 'brooklyn, new york city', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'angry', 'origin story', 'soldiers', 'war', 'bold']","['Chris Evans', 'Hayley Atwell', 'Sebastian Stan', 'Tommy Lee Jones', 'Hugo Weaving', 'Dominic Cooper', 'Richard Armitage', 'Stanley Tucci', 'Samuel L. Jackson', 'Toby Jones']",Joe Johnston
Thor,2011-04-21,"['Adventure', 'Fantasy', 'Action']","['new mexico', 'superhero', 'redemption', 'banishment', 'based on comic', 'brother against brother', 'norse mythology', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'worlds collide', 'god of thunder', 'fantasy', 'brisk']","['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Anthony Hopkins', 'Stellan Skarsgård', 'Kat Dennings', 'Clark Gregg', 'Colm Feore', 'Idris Elba', 'Ray Stevenson']",Greg Hale
Suicide Squad,2016-08-03,"['Action', 'Adventure', 'Fantasy']","['secret mission', 'superhero', 'anti hero', 'villain', 'supervillain', 'dc extended universe (dceu)']","['Will Smith', 'Jared Leto', 'Margot Robbie', 'Joel Kinnaman', 'Viola Davis', 'Jai Courtney', 'Jay Hernandez', 'Adewale Akinnuoye-Agbaje', 'Cara Delevingne', 'Ike Barinholtz']",Zack Snyder
Se7en,1995-09-22,"['Crime', 'Mystery', 'Thriller']","['rage and hate', 'police', 's.w.a.t.', 'sadism', 'self-fulfilling prophecy', 'psychopath', 'detective', 'investigation', 'insomnia', 'murder', 'serial killer', 'religion', 'seven deadly sins', 'depravity', 'neo-noir']","['Morgan Freeman', 'Brad Pitt', 'Gwyneth Paltrow', 'John Cassini', 'Peter Crombie', 'Reg E. Cathey', 'R. Lee Ermey', 'Daniel Zacapa', 'George Christy', 'Endre Hules']",David Fincher
Iron Man 2,2010-04-28,"['Adventure', 'Action', 'Science Fiction']","['technology', 'superhero', 'malibu', 'based on comic', 'revenge', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'break out', 'iron man', 'war machine', 'nick fury']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Scarlett Johansson', 'Sam Rockwell', 'Mickey Rourke', 'Samuel L. Jackson', 'Clark Gregg', 'John Slattery', 'Garry Shandling']",Eric Heffron
Batman Begins,2005-06-10,"['Action', 'Crime', 'Drama']","['martial arts', 'undercover', 'loss of loved one', 'secret identity', 'crime fighter', 'superhero', 'based on comic', 'rivalry', 'ninja', 'vigilante', 'tragic hero', 'super power', 'haunted by the past', 'evil doctor', 'master villain', 'unfulfilled love', 'inspirational']","['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Morgan Freeman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe']",Christopher Nolan
Thor: Ragnarok,2017-10-02,"['Action', 'Adventure', 'Science Fiction']","['superhero', 'based on comic', 'sequel', 'alien planet', 'female villain', 'norse mythology', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'norse god', 'loki', 'antagonistic', 'brisk', 'informative']","['Chris Hemsworth', 'Mark Ruffalo', 'Tom Hiddleston', 'Cate Blanchett', 'Idris Elba', 'Jeff Goldblum', 'Tessa Thompson', 'Karl Urban', 'Anthony Hopkins', 'Benedict Cumberbatch']",Taika Waititi
Harry Potter and the Goblet of Fire,2005-11-16,"['Adventure', 'Fantasy']","['witch', 'dying and death', 'based on novel or book', 'magic', 'boarding school', 'world cup', 'maze', 'mermaid', 'school of witchcraft', 'black magic', 'chosen one', 'vision', 'school', 'tournament', 'dragon', 'ghost', 'wizard', 'teenage hero', 'mysterious', 'christmas', 'based on young adult novel', 'wizarding world']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Brendan Gleeson', 'Michael Gambon', 'Robert Pattinson', 'Ralph Fiennes', 'Robbie Coltrane', 'Alan Rickman', 'David Tennant']",Mike Newell
Star Wars,1977-05-25,"['Adventure', 'Action', 'Science Fiction']","['empire', 'galaxy', 'rebellion', 'android', 'hermit', 'smuggling (contraband)', 'freedom', 'rebel', 'rescue mission', 'space', 'planet', 'desert', 'super power', 'oppression', 'space opera', 'nostalgic', 'wizard', 'totalitarianism']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker', 'Peter Mayhew', 'David Prowse', 'James Earl Jones']",George Lucas
The Godfather,1972-03-14,"['Drama', 'Crime']","['based on novel or book', 'loss of loved one', 'love at first sight', 'italy', 'symbolism', 'patriarch', 'europe', 'organized crime', 'mafia', 'religion', 'lawyer', 'revenge motive', 'crime family', 'sicilian mafia', 'religious hypocrisy', 'gun violence', 'rise to power', 'dead horse', 'gang violence', '1940s', '1950s', 'wonder', 'mafia war']","['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden', 'John Marley']",Francis Ford Coppola
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"['Adventure', 'Fantasy', 'Action']","['blacksmith', 'east india company', 'gold', 'exotic island', 'governor', 'skeleton', 'jamaica', 'british empire', 'pirate', 'swashbuckler', '18th century', 'caribbean sea', 'aftercreditsstinger', 'pirate ship', 'british navy', 'tortuga', 'based on theme park ride', 'amused', 'cheerful', 'excited']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Geoffrey Rush', 'Jack Davenport', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', ""Damian O'Hare"", 'Giles New']",Gore Verbinski
